Número Identificador,Nome,Artigos Completos em Periódicos,Ano do Primeiro Artigo,Ano do Último Artigo,Livros Publicados/Organizados,Ano do Primeiro Livro,Ano do Último Livro,Capítulos de Livros Publicados,Ano do Primeiro Capítulo,Ano do Último Capítulo,Trabalhos Completos em Anais de Congressos,Ano do Primeiro Trabalho,Ano do Último Trabalho,Resumos Expandidos em Anais de Congressos,Ano do Primeiro Resumo Expandido,Ano do Último Resumo Expandido,Resumos em Anais de Congressos,Ano do Primeiro Resumo,Ano do Último Resumo,Apresentação de Trabalhos,Ano da Primeira Apresentação,Ano da Última Apresentação
0000005794097038,Natanael de Carvalho Souza Rosa,0,,,0,,,0,,,1,2016,2016,0,,,0,,,1,2015,2015
,Salomão Roman da Silveira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000028008893431,Verônica Palmiro da Silva e Lima,2,2018,rint,0,,,0,,,0,,,0,,,0,,,3,2016,2016
0000036350356979,Maura da Silva Costa Furtado,1,2019,2019,0,,,2,2020,2019,1,2019,2019,1,2017,2017,4,2018,2013,3,2013,2011
0000039450694651,Antonio Guerreiro Silva Serrano,1,2016,2016,0,,,0,,,0,,,3,2013,2014,0,,,0,,
0000052654865481,Fernando Emilio Puntel,3,2013,2014,0,,,2,2020,2020,9,2014,2020,7,2013,2015,6,2013,2020,9,2011,2020
0000061689355850,Roberto Mojolla,0,,,0,,,0,,,4,2014,2013,0,,,0,,,0,,
0000069445582595,Dinalva da Silva Correa,4,2019,2020,0,,,3,2015,2017,3,2020,2019,1,2018,2018,1,2017,2017,13,2011,2013
0000087284725171,Valeria Cristhian Meneguini,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000087575612067,Jeorge Luís dos Santos Amaral,0,,,0,,,0,,,0,,,0,,,0,,,2,2007,2007
0000096258045504,Sherlon Almeida da Silva,1,2019,2019,0,,,3,2017,2015,2,2018,2020,4,2014,2018,10,2015,2018,13,2017,2017
0000105379414332,Mariane Massufero Vergilio,6,2020,2021,0,,,0,,,3,2015,2020,5,2018,2020,0,,,14,2015,2021
0000116494169359,Leonardo de Aguiar Pereira,0,,,0,,,0,,,2,2019,2018,0,,,0,,,3,2016,2015
0000121659161468,Maria do Carmo Irochi Coelho,0,,,0,,,0,,,0,,,1,2001,2001,0,,,3,2001,2014
0000132036091094,Caio Fernandes,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000136496931211,Leonardo Pereira Vieira,5,2013,2014,1,2013,2013,0,,,4,2013,2015,0,,,0,,,12,2005,2015
0000159211241181,Denise Knuth Kolosque,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000172749625056,Ana Paula Libence de Souza Pinto,3,2016,2020,0,,,1,2012,2012,5,2015,2015,0,,,0,,,10,2010,2015
0000189965820653,Antonio Pereira dos Santos,2,2002,2004,2,2003,2010,0,,,0,,,0,,,0,,,0,,
0000192298532230,Beatriz Coelho Paz,1,2021,2021,0,,,1,2020,2020,0,,,0,,,0,,,13,2003,2017
0000192795399015,Gustavo Gabriel Theiss,0,,,0,,,0,,,0,,,0,,,0,,,1,2005,2005
0000227989858662,Monica Nascimento Santos Bila,0,,,0,,,0,,,5,2003,2004,0,,,0,,,0,,
0000239856112340,Elaine Miguel Spindola,0,,,0,,,0,,,2,2012,2012,0,,,0,,,3,2012,2012
0000243276268396,Cleber Schütz,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000244235176431,Beatriz Rios Zanetti,0,,,0,,,1,2016,2016,0,,,2,2012,2011,0,,,0,,
0000262104425268,Ruy de Azevedo Nobre Machado Filho,1,2010,2010,0,,,0,,,0,,,0,,,0,,,0,,
,Sergio Forbicini,0,,,0,,,0,,,6,1999,2000,0,,,0,,,0,,
0000269783122068,Antonio Marcos de Souza,3,2014,2014,0,,,0,,,0,,,0,,,0,,,0,,
0000295202050421,Simone Piñeiro Bressan Robles,0,,,0,,,2,2018,2017,0,,,2,2005,2015,2,2009,2012,3,2009,2015
0000315676393333,Rosana Cláudia Ferreira da Silva,1,2016,2016,0,,,0,,,0,,,0,,,0,,,0,,
0000340069768344,Celso Alfredo Schramm,4,2011,2011,0,,,0,,,0,,,16,2005,2011,0,,,16,2005,2010
0000345845914601,Cleide Rodrigues de Padua Lima,1,2019,2019,0,,,0,,,0,,,0,,,0,,,4,2020,2003
0000346109292138,Alice Andrade Silva,2,2020,2016,0,,,2,2013,2013,6,2013,2014,5,2014,2019,4,2020,2020,20,2012,2019
0000382172454462,Joao de Castro Freitas Neto,0,,,0,,,0,,,1,2012,2012,0,,,0,,,0,,
0000386987458271,João Carlos Duarte,15,2011,2012,0,,,0,,,0,,,0,,,0,,,0,,
0000397228959693,Daniel Fritzke Ferreira de Melo,0,,,0,,,0,,,1,2008,2008,0,,,0,,,2,2008,2007
0000422935927267,Carolina Pinto de Carvalho Martins,9,2014,2019,0,,,3,2017,2021,8,2013,2016,23,2014,2014,0,,,2,2020,2016
0000425677199718,Ester Missias Villaverde Antas,16,2015,2021,0,,,0,,,3,2019,2019,9,2011,2019,3,2015,2020,11,2011,2011
0000426561067083,Iremar Nunes de Lima,24,2010,2012,0,,,0,,,2,1997,1998,0,,,0,,,1,1998,1998
0000447751455398,Bruno Diego Lima Ribeiro,0,,,0,,,0,,,0,,,5,2015,2016,1,2016,2016,8,2008,2013
0000476305738830,Roberta Rossi Grüdtner,3,1999,1999,0,,,0,,,0,,,20,1996,1999,0,,,36,1996,1999
0000484647793486,Ana Paula Reis Santos Dias,0,,,0,,,0,,,0,,,0,,,0,,,5,2015,2016
0000496645045993,Giorgia Virgínia Büse,0,,,0,,,0,,,1,2014,2014,0,,,2,2012,2014,8,2002,2004
,Alex Sandro Magno de São José Santos,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000498358205053,Eliana Cavacami,0,,,0,,,0,,,0,,,4,2001,2001,0,,,0,,
0000498556995343,Maria Cecília Ladeira de Almeida,9,2001,1991,3,1999,2019,23,2000,2011,10,1999,2007,0,,,1,2008,2008,2,2003,2008
0000499887832543,Sâmia Senna Diógenes,0,,,0,,,0,,,7,2014,2014,0,,,1,2012,2012,16,2013,2012
0000509408619352,Vanessa Ester Ferreira Nunes,16,2017,2020,0,,,1,2019,2019,3,2018,2019,0,,,0,,,3,2019,2020
0000518927210780,Samuel Júlio dos Santos SIlva,0,,,0,,,0,,,3,2017,2019,0,,,1,2018,2018,2,2017,2017
0000528146683180,Emiliane Rodrigues Dutra,0,,,0,,,0,,,0,,,2,2019,2014,0,,,2,2014,2015
0000556466002008,Luciano Henrique de Tarso Luiz,0,,,0,,,0,,,0,,,0,,,0,,,12,2012,2013
0000587396480352,Anderson Castro de Oliveira,2,2019,2019,1,2018,2018,0,,,1,2018,2018,0,,,0,,,6,2017,2018
0000627564346803,Fernanda Maria Jacinto,0,,,0,,,0,,,0,,,0,,,1,2008,2008,1,2004,2004
0000641510600511,Rafaela Fernandes Leite,0,,,1,2018,2018,5,2018,2018,2,2019,2019,2,2017,2018,2,2018,2018,15,2017,2019
0000645729176737,Lucas Rego Ramos,2,2021,2021,0,,,0,,,0,,,9,2017,2018,0,,,5,2013,2016
0000655306844034,Isabella de Sousa Gonçalves,7,2019,2020,1,2020,2020,3,2018,2020,17,2015,2018,1,2018,2018,2,2017,2017,16,2015,2018
0000665507714302,Bruno de Souza Corrêa,2,2014,2015,0,,,0,,,3,2006,2010,10,2012,2018,6,2010,2014,0,,
0000670075693577,Rosemery de Lima Almeida,0,,,1,2017,2017,0,,,0,,,0,,,0,,,0,,
0000683992749272,Dilnei Schmidt,1,2015,2015,0,,,0,,,6,2003,2014,1,2003,2003,0,,,1,2014,2014
0000685435244382,Cicila Daiane Barbosa de Oliveira Duarte,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000726591549710,Arnaldo Pereira de Brito Filho,6,2009,2009,0,,,0,,,0,,,11,2004,2009,0,,,11,2004,2004
0000747133717954,Manuella Souza de Oliveira Pereira,0,,,2,2016,2019,2,2014,2019,12,2010,2016,0,,,0,,,18,2007,2012
0000747137881569,Monica Silva de Sousa,1,2017,2017,0,,,0,,,20,2014,2017,4,2015,2017,1,2012,2012,5,2014,2015
0000757537661715,Leandro Kfouri Martins Cerqueira,0,,,0,,,0,,,2,2004,2004,0,,,0,,,0,,
,Rita de Cássia Perni Rossi,0,,,0,,,0,,,1,2006,2006,1,2007,2007,0,,,0,,
0000774980499689,Luma Balbi de Figueiredo e Cordeiro,0,,,0,,,3,2014,2018,1,2012,2012,0,,,0,,,4,2013,2013
0000791143468016,Anderson Rodrigues de Souza,1,2018,2018,0,,,0,,,0,,,0,,,0,,,1,2019,2019
0000798344070673,Laís Mendes Velloso de Oliveira,0,,,0,,,0,,,1,2016,2016,0,,,0,,,2,2016,2016
0000846960304624,Everton Bispo dos Santos,0,,,0,,,0,,,1,2018,2018,1,2019,2019,0,,,2,2018,2019
,Silvia Helia Soriano Côrtes,0,,,0,,,0,,,1,2001,2001,8,2001,2007,5,2003,2001,0,,
0000871927731519,Clara Margaça,1,2013,2013,0,,,0,,,0,,,0,,,0,,,0,,
0000902999017567,Cícera Maria Mamede Santos,2,2020,2021,0,,,8,2020,2021,10,2019,2019,0,,,1,2018,2018,14,2017,2019
0000909696960967,Antônio José Roveroni,1,2008,2008,0,,,0,,,4,2007,2005,0,,,1,2006,2006,5,2006,2009
0000933077283628,Alcir José de Oliveira Júnior,3,2021,2021,0,,,0,,,0,,,3,2016,2014,0,,,8,2014,2021
0000945836498570,Gisele Chaves da Silva,0,,,0,,,0,,,0,,,0,,,0,,,1,2011,2011
0000968341410103,Joel Fernandes Peixoto,0,,,0,,,0,,,0,,,2,2000,2000,0,,,3,2000,2000
0000986516600449,Humphry Trevelyan,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0000990948667239,Marli Irias,1,2016,2016,0,,,0,,,1,2016,2016,13,2010,2011,4,2010,2011,31,2010,2013
0000996508124136,Aridenio Bezerra Quintiliano,0,,,1,2008,2008,1,2007,2007,20,2006,2007,41,2004,2007,12,2006,2007,65,2002,2007
0000997517787428,Patricia Ferreira Rocha,5,2017,2017,1,2019,2019,11,2017,2017,2,2019,2018,0,,,2,2021,2021,16,2010,2019
0001005459180258,Thaís Pola Baptista Coelho,1,2018,2018,0,,,0,,,0,,,8,2015,2016,0,,,4,2017,2017
0001015796959554,Viviane do Amaral Ferini,1,2004,2004,0,,,0,,,0,,,11,2002,2005,0,,,11,2002,2005
0001044229019084,Paulo Henrique Pierin Macaúbas,4,2000,2003,0,,,0,,,2,1999,2000,0,,,0,,,0,,
0001045834502169,Cláudia Cunha Melo Barros,0,,,1,2020,2020,1,2019,2019,1,2011,2011,0,,,0,,,5,2011,2012
0001062183557237,Aline Feitosa Sampaio,0,,,0,,,1,2016,2016,0,,,0,,,0,,,13,2007,2020
0001070600232667,Mônica Pereira Juergens Age,4,2013,2014,0,,,0,,,5,2011,2014,3,2010,2010,0,,,9,2011,2010
0001073080069679,Raissa Estrela Curado,5,2008,2014,0,,,0,,,0,,,0,,,0,,,6,2007,2008
0001109136127533,Silvio Cesar Silva,1,2008,2008,0,,,0,,,0,,,2,1998,1997,0,,,10,1995,2012
0001110897037580,Eduardo Lacreta Leoni,6,2005,1999,0,,,1,2008,2008,0,,,0,,,0,,,0,,
0001111917983214,Michele Viana Trevisan,0,,,0,,,4,2007,2007,0,,,7,2004,2008,1,2004,2004,9,2006,2007
,Bruno Cezar Rodrigues Fernandes,0,,,1,2010,2010,0,,,0,,,0,,,0,,,0,,
0001159703467890,Maria Bonfim Casemiro,6,2017,2020,1,2017,2017,8,2019,2021,1,2020,2020,11,2019,2019,10,2016,2017,29,2013,2016
0001182599176423,Lucas Antônio Silveira Silva,3,2015,2015,0,,,0,,,12,2011,2013,1,2014,2014,0,,,0,,
0001184963125242,Rosane Catarina dos Santos,5,2002,2016,0,,,0,,,2,2005,2005,12,2000,2006,7,1998,2012,1,2005,2005
0001199049062038,José Fernando de Morais Firmino,2,2017,2015,0,,,0,,,2,2016,2013,2,2016,2015,1,2017,2017,5,2016,2016
0001200746250229,Camila Cardoso,1,2020,2020,0,,,0,,,0,,,9,2017,2017,3,2017,2017,4,2010,2017
0001215580335377,Ida Peréa Monteiro,0,,,0,,,0,,,0,,,0,,,0,,,12,2015,2002
0001229313360390,Jose Julian Apraez Munoz,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001240046723870,Diogo Angeli Theotonio,1,2020,2020,1,2020,2020,0,,,3,2017,2019,1,2019,2019,1,2019,2019,10,2017,2020
0001243404402028,Andréa Novo Duarte,0,,,0,,,5,2008,2005,0,,,1,2004,2004,0,,,11,2004,2003
0001254051266765,Décius Vinícius Mota Pereira,2,2014,2013,0,,,0,,,0,,,0,,,0,,,0,,
,Sandra Silva Moura,1,1999,1999,0,,,0,,,0,,,8,2000,2000,0,,,0,,
0001270804333904,Fernanda Passos da Trindade Jorge Neres,1,2002,2002,0,,,1,2015,2015,0,,,0,,,0,,,9,2009,2002
0001278563193746,Flávia Costa Prazeres,0,,,0,,,0,,,4,2008,2011,0,,,0,,,2,2019,2016
0001296227241220,Gustavo Selenko de Aquino,4,2013,2021,0,,,0,,,0,,,7,2011,2012,3,2011,2014,8,2012,2011
0001306476117006,Raimundo Nonato Nogueira Reis,1,2017,2017,0,,,0,,,0,,,1,2011,2011,0,,,21,2014,2017
0001311191167168,Odirney Benedito da Silva,0,,,0,,,0,,,0,,,7,2013,2017,0,,,3,2012,2015
,Amilde Praxedes Marques de Paiva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0001364627398599,Italo Farias Braga,5,2016,2018,0,,,4,2014,2017,0,,,3,2015,2016,20,2013,2016,1,2018,2018
0001384073059394,Ana Paula Silva de Almeida,6,2010,2013,0,,,1,2017,2017,9,2011,2010,4,2008,2014,3,2010,2011,28,2008,2013
,Luís Fernando Kaefer,0,,,0,,,0,,,12,1994,2002,0,,,0,,,0,,
0001394224092286,Alex Marino Gonçalves de Almeida,3,2014,2018,0,,,0,,,5,2016,2016,0,,,0,,,0,,
0001405802618313,Catherine Ferreira da Silva,0,,,0,,,0,,,0,,,1,2016,2016,0,,,26,2010,2017
0001415989414295,Gabriela de Souza da Silva,3,2018,2019,0,,,1,2018,2018,0,,,14,2018,2018,0,,,0,,
